stt,post_id,caption,topic,reason
12,7.54E+18,"Không th? r?i kh?i sân bay Thái Lan, vì sao? M?i cô bác mình du l?ch Thái Lan và ?n ?? cùng Khoai nha. #getnomad #travel #esim #Khoailangthang",travel_tourism,sân bay du l?ch
13,7.53E+18,"?? cô bác mình nay Khoai ?i ?âu? Nay Khoai ?i du l?ch v?i m?y ??a em trong nhà, cùng n?u ?n, cùng thâu ?êm su?t sáng r?i cùng t?m m?a n?a ??. #KhoaiLangThang",travel_tourism,?i du l?ch
14,7.53E+18,Có ai hên nh? Khoai hông? C?m giác nh? mình ???c trúng s? ??c ??c v?y ??. Ôi hai m??i m?y ti?ng bay c?a tôi. ?? #Khoailangthang,lifestyle_daily,chuy?n bay
15,7.52E+18,"Cùng xem MV ""Qu?y Ba Mi?n"" và n??ng th?t bán c?m t?m v?i Khoai t?i ""ch? n?i Play Together VNG"" nha cô bác ?i!!! #QuayBaMien #KhoaiLangThang",entertainment_humor,MV s? ki?n
16,7.52E+18,"Và ""The food is ngon"". ?ây là b?n bè Khoai quen bi?t trong hành trình du l?ch, tình c? Khoai bi?t ??n t?i nh? nên t? ch?c n?u thôi. #khoailangthang",food_drink,n?u ?n
17,7.52E+18,"K? n?ng n?u ?n c?a m?y ch? Kenya Châu Phi quá l?, quá khác v?i Vi?t Nam mình... M?i cô bác mình du l?ch Châu Phi cùng Khoai Lang Thang nha! #KhoaiLangThang",food_drink,n?u ?n Kenya
18,7.52E+18,Ti?p t?c ?i ch? ? Kenya ?? có nguyên li?u cho b?a n?u ti?c... M?i m?i ng??i ?i du l?ch ?m th?c Châu Phi cùng Khoai Lang Thang nha. #KhoaiLangThang,travel_tourism,du l?ch Kenya
19,7.52E+18,"Ng??i Vi?t Nam qua Châu Phi ?n, ? và n?u n??ng chung v?i ng??i b?n ??a... #KhoaiLangThang",food_drink,n?u ti?c
20,7.52E+18,"Ti?p c?n b? l?c khét ti?ng ? Châu Phi. Cách chào m?ng khách ghé th?m th?t ??c bi?t! Du l?ch Maasai Mara, Kenya cùng Khoai Lang Thang! #KhoaiLangThang",travel_tourism,Maasai Mara
21,7.52E+18,D?n hai ??a em ?i du l?ch n??c ngoài mùa m?a... M?i cô bác mình ?i du l?ch ?ài Loan cùng Khoai Lang Thang nha! #KhoaiLangThang,travel_tourism,du l?ch ?ài Loan
22,7.51E+18,"Khoai g?p s? c? ? sân bay, nh?ng s? c? ?ã ???c x? l? quá nhanh... #KhoaiLangThang",lifestyle_daily,s? c? sân bay
23,7.51E+18,"Tâm s? v? kênh Khoai Lang Thang, gi?a ?êm coi clip b? hi?u l?m nên Khoai ng?i tâm tình chút xíu nha! #KhoaiLangThang",lifestyle_daily,tâm s?
24,7.51E+18,"Chi?c xe ""k? l?"" trên ???ng H?i Phòng ? H?ng Kông!... M?i cô bác mình du l?ch ?m th?c Hongkong v?i Khoai Lang Thang nha! #KhoaiLangThang",travel_tourism,H?ng Kông
25,7.51E+18,"M?i cô bác mình ?i m?t vòng Hongkong, ?n sáng và du l?ch v?i Khoai nha!... #KhoaiLangThang",travel_tourism,du l?ch Hongkong
26,7.51E+18,Nay nhà Khoai ?? bánh xèo Mi?n Tây. ?? lo?i nhân luôn... #KhoaiLangThang,food_drink,bánh xèo
27,7.49E+18,"Ng??i quay không ng?i, ng??i xem xin ??ng ng?i ?? #Khoailangthang",entertainment_humor,trêu ?ùa
28,7.49E+18,Ch?m ch?m hít hà mùi h??ng c?a mùa xuân Fukushima r?c r?!... #KhoaiLangThang,travel_tourism,Fukushima
29,7.49E+18,Bài hát này Khoai thích l?m luôn. Nghe hoài nay m?i hát th?... #khoailangthang,music_dance,hát
30,7.49E+18,?i Pháp công tác cùng Khoai n?a nha cô bác mình ?i... #khoailangthang,travel_tourism,du l?ch Pháp
31,7.49E+18,M?i nhà mình ?i du l?ch Pháp v?i Khoai!... #KhoaiLangThang,travel_tourism,bay Paris
32,7.48E+18,T?i cu?i tu?n r?i. Mình ?i ch?i hay ? nhà n?u ?n v?y? #khoailangthang,lifestyle_daily,sinh ho?t
33,7.48E+18,C?m n??c gì ch?a ng??i ??p? Hôm nay Khoai ?i công tác #khoailangthang,lifestyle_daily,công tác
34,7.48E+18,S? c? b?t ng? khi?n c? nhà Khoai ph?i ? khách s?n ng? liên ti?p m?y ngày trong tu?n du l?ch Bali... #KhoaiLangThang,travel_tourism,du l?ch Bali
35,7.48E+18,"M?t n?i hi?m ng??i bi?t cách Sài Gòn vài ti?ng di chuy?n... c?m tr?i, n?u ?n... #KhoaiLangThang",travel_tourism,c?m tr?i
36,7.48E+18,N?u ?ám ? Mi?n Tây sông n??c y nh? h?i x?a... #KhoaiLangThang,food_drink,n?u ?ám
37,7.48E+18,5h30 sáng... Gi?ng hát: Khoai Lang Thang #KhoaiLangThang,music_dance,bài hát
38,7.47E+18,M?t món ?n l? trong bu?i n?u ?ám c?a ng??i Khmer Mi?n Tây... #KhoaiLangThang,food_drink,món ?n
39,7.47E+18,"Ch?t l?ng màu tr?ng trong n?i, chính là bí quy?t khác bi?t khi gói bánh tét... #KhoaiLangThang",food_drink,bánh tét
40,7.46E+18,Tên bài m?i này là 5h30... 5h30 - Khoai Lang Thang. #KhoaiLangThang,music_dance,ra m?t bài
41,7.46E+18,Nay Khoai n?u b?a ti?c v?i bà con Khmer ? An Giang... #KhoaiLangThang,food_drink,n?u ti?c
42,7.46E+18,Khoai n?u ti?c g?n tr?m ng??i ? xóm ng??i Khmer Mi?n Tây Vi?t Nam... #KhoaiLangThang,food_drink,n?u ti?c
43,7.46E+18,"Ti?c buffet ""hoành tráng"" gi?a ?c ??o bí ?n Mi?n Tây... #KhoaiLangThang",food_drink,ti?c buffet
44,7.46E+18,"Món ?n ngon l?, hi?m ai n?u theo ki?u này... #KhoaiLangThang",food_drink,??c s?n
45,7.46E+18,??c s?n l? c?a Vi?t Nam mình hi?m ai bi?t n?u... #Khoailangthang,food_drink,??c s?n
46,7.46E+18,"Khoai v? quê B?n Tre ch?i, s?n ghé qua du l?ch trên con ???ng hoa T?t quê mình... #khoailangthang",travel_tourism,B?n Tre
47,7.46E+18,Khoai v? An Giang n?u món ?n ??c s?n c?a ng??i Khmer... #khoailangthang,food_drink,món Khmer
48,7.46E+18,"Sau 5 phút h?c hát T?t V? V?, và gi? là lúc Khoai tr? bài cho Bùi Công Nam... #khoailangthang",music_dance,h?c hát
49,7.46E+18,Hôm nay cùng Khoai n?u m?t b?a ti?c nho nh? ? Cà Mau sông n??c... #khoailangthang,food_drink,n?u ti?c
50,7.46E+18,L?n ??u Khoai ?i ?óng phim ng?n T?t V? V?... M?i cô bác mình coi MV T?t V? V? cùng Khoai nha. #khoailangthang,music_dance,MV
51,7.45E+18,"Khoai mê ?n b?p l?m, nh?ng n?u m?t ngày ch? ???c ?n và u?ng nh?ng món liên quan ??n b?p thì s? ra sao ta? #SuaBapNonLof #DaSangDangThon #KhoaiLangThang",food_drink,?n b?p
52,7.44E+18,Giây phút ch?m m?t v?i gã kh?ng l? bao báp c?a k? lang thang m?ng m?. Hành trình du l?ch ?m th?c Madagascar Châu Phi c?a Khoai Lang Thang,travel_tourism,Madagascar
53,7.44E+18,"Lúc Khoai ??ng ?ó và nghe nh?ng l?i ??ng viên t? m?i ng??i, Khoai v?a khóc v?a c??i luôn",lifestyle_daily,c?m xúc
54,7.44E+18,Khoai là k? lang thang may m?n nh?t Th? Gi?i. Th?t s? bi?t ?n! Cám ?n VietNam iContent 2024,lifestyle_daily,bi?t ?n
55,7.44E+18,"?ây là trái ??n t? loài cây ???c m?nh danh cây ngoài hành tinh, r?t b? d??ng và có v? gi?ng trái cây Vi?t Nam",travel_tourism,trái cây l?
56,7.44E+18,"M?t bu?i ?i ch? ? Kenya Châu Phi, quá nhi?u trái cây rau c?",food_drink,?i ch?
57,7.44E+18,V?a n?u ?n v?a s? cái b?p gas m?t an toàn,food_drink,n?u ?n
58,7.44E+18,Cách ng??i dân Kenya Châu Phi n?u b?a c?m gia ?ình,food_drink,b?a c?m
59,7.44E+18,M?t ngày m?t ?êm c?a ng??i Vi?t Nam trong khu ? chu?t Kibera Kenya,travel_tourism,Kibera
60,7.44E+18,"Lên ?à L?t du l?ch, dã ngo?i d??i r?ng thông",travel_tourism,?à L?t
61,7.43E+18,?i ch? khu ? chu?t và n?u ?n cùng ng??i b?n ??a Kenya,food_drink,n?u ?n Kenya
62,7.43E+18,Xi?c ngh? thu?t ???ng ph? ph? bi?n ? Madagascar,travel_tourism,???ng ph?
63,7.43E+18,M?t ng??i l? làm ?i?u b?t ng? v?i Khoai ? Madagascar,lifestyle_daily,tr?i nghi?m
64,7.43E+18,H?i s?n l? ???ng ? Madagascar,food_drink,h?i s?n
65,7.43E+18,Bánh mì Vi?t Nam ? Madagascar gi?ng ??n b?t ng?,food_drink,bánh mì
66,7.43E+18,"Don't you want me like I want you, baby",music_dance,nh?c n?n
67,7.43E+18,??c s?n Madagascar nhìn gi?ng bánh tét mi?n Tây,food_drink,??c s?n
68,7.43E+18,?i ch?i T?t ??c l?p cùng ng??i dân Madagascar,travel_tourism,sinh ho?t
69,7.43E+18,K? s? du l?ch ?m th?c Châu Phi: s? ki?n ??c bi?t ? Madagascar,travel_tourism,s? ki?n
70,7.43E+18,M?t công vi?c ??c bi?t ven sông ? Madagascar,travel_tourism,??i s?ng
71,7.42E+18,Du l?ch Thái Lan t? túc nhi?u th? h? trong gia ?ình,travel_tourism,du l?ch Thái
72,7.42E+18,?i ch? ? Châu Phi v?i nhi?u nông s?n l?,food_drink,nông s?n
73,7.42E+18,Khoai d?n c? nhà ?i du l?ch Thái Lan,travel_tourism,gia ?ình
74,7.41E+18,Cua bi?n r? và ngon ? Madagascar,food_drink,cua bi?n
75,7.41E+18,?m th?c ???ng ph? Châu Phi Madagascar,food_drink,?m th?c ???ng ph?
76,7.41E+18,??c s?n KOBA c?a Madagascar gi?ng món Vi?t,food_drink,KOBA
77,7.41E+18,Ngày th? 2 ? Madagascar v?i các món ?n truy?n th?ng,food_drink,món truy?n th?ng
78,7.40E+18,??i l? cây baobab Madagascar lúc hoàng hôn,travel_tourism,baobab
79,7.40E+18,M?t bu?i chi?u ??p ? Madagascar,travel_tourism,phong c?nh
80,7.40E+18,Khoai cùng Red Bull s?n sàng chinh ph?c th? thách,travel_tourism,hành trình
81,7.40E+18,Vì sao Madagascar ít ng??i Vi?t ch?n làm ?i?m ??n,travel_tourism,?i?m ??n
82,7.40E+18,Hành trình ??n Madagascar v?i nhi?u s? c? nh?ng ?áng nh?,travel_tourism,hành trình
83,7.38E+18,"Mùa trái cây Mi?n Tây, Khoai v? quê hái ?n",food_drink,trái cây
84,7.38E+18,V?y thì Khoai xin ch?t vì ng??i Khoai th??ng,lifestyle_daily,tâm tr?ng
85,7.38E+18,Du l?ch ?m th?c M?: Thung L?ng T? Th?n,travel_tourism,Death Valley
86,7.38E+18,Du l?ch r?ng núi Mang Yang Gia Lai lúc 4 gi? sáng,travel_tourism,Tây Nguyên
87,7.37E+18,Khám phá ??a ?i?m k? bí ? Phú Yên,travel_tourism,Phú Yên
88,7.37E+18,Du l?ch ?m th?c M?: Thung L?ng T? Th?n,travel_tourism,Death Valley
89,7.36E+18,Tóm t?t hành trình du l?ch ?m th?c Arizona – Utah,travel_tourism,Arizona Utah
90,7.36E+18,Khách s?n ??c bi?t trong chuy?n du l?ch M?,travel_tourism,khách s?n
91,7.36E+18,Ghé ti?m ph? ng??i Vi?t t?i M?,food_drink,ph? Vi?t
92,7.36E+18,G?p s? c? ? Yosemite trong chuy?n du l?ch M?,travel_tourism,Yosemite
93,7.36E+18,??c s?n hi?m tr?ng trên ??o núi l?a Vi?t Nam,food_drink,??c s?n
94,7.36E+18,Du l?ch San Francisco và roadtrip n??c M?,travel_tourism,San Francisco
95,7.36E+18,Du l?ch ?m th?c M?: h?i s?n San Francisco,food_drink,h?i s?n M?
96,7.36E+18,M?t ngày ng?n ng?i không thú v? ? M?,travel_tourism,sinh ho?t
97,7.36E+18,B?t ??u hành trình roadtrip b? Tây n??c M?,travel_tourism,roadtrip M?
98,7.35E+18,??c s?n c? lu?c mùa m?a Mi?n Tây,food_drink,??c s?n mi?n Tây
99,7.34E+18,Nh? nh?ng cung ???ng b? Tây n??c M? cùng nh?c chill,music_dance,nh?c tâm tr?ng
100,7.34E+18,Làm bánh truy?n th?ng th? công ? Mi?n Tây,food_drink,làm bánh
101,7.34E+18,"Có nh?ng ngày b?t ng?, b? v? trong gi?c m?. Tôi v?n ??i em n?i h?n c? - Khoai Lang Thang #KhoaiLangThang #ToiVanDoiEmNoiHenCu #saigon #nhactamtrang #nhacchill #BMZ #soundsofvietnam ",music_dance,#nhactamtrang
102,7.34E+18,"Có nh?ng ngày b?t ng?, b? v? trong gi?c m?. Tôi V?n ??i Em N?i H?n C? - Khoai Lang Thang #KhoaiLangThang #ToiVanDoiEmNoiHenCu #nhactamtrang #nhacchill #nhachaymoingay #saigon #BMZ #soundsofvietnam ",music_dance,#nhacchill
103,7.34E+18,Có ai t?ng nh? m?t ng??i da di?t mà không th? g?p l?i không? M?i c? nhà mình nghe Tôi V?n ??i Em N?i H?n C? - Ng??i hát Khoai Lang Thang #KhoaiLangThang #ToiVanDoiEmNoiHenCu #nhactamtrang #nhacchill #nhachaymoingay #saigon #BMZ #soundsofvietnam,music_dance,nghe nh?c
104,7.33E+18,"Tr? l?i @Khoai Lang Thang th?t vô ngh?a ??. ?ã ra nh?c bu?n ngay T?t kén ng??i nghe r?i, mà còn b? t?t ti?ng, quánh b?n quy?n b?i chính mình ????. Tôi ?au ??n. #KhoaiLangThang #soundsofvietnam #bmz #toivandoiemnoihencu",entertainment_humor,gi?u hài
105,7.33E+18,"??u n?m ra nh?c th?t tình. ??. Khoai th?t là xàm mà. Bài hát có tên ""Tôi V?n ??i Em N?i H?n C?""",music_dance,phát hành nh?c
106,7.33E+18,Ông Khoai Lang Thang ?ang lang thang thì g?p ông Khoai Lang Thang ngoài sân bay ???? #KhoaiLangThang,lifestyle_daily,kho?nh kh?c
107,7.33E+18,Khoai quay c? ngày nh?ng vui l?m. #KhoaiLangThang,lifestyle_daily,??i th??ng
108,7.33E+18,"Xe máy ""h?i s?n hàng rong"" ? Campuchia, c?ng ngon l?m nha. #KhoaiLangThang #dulich #amthuc #travel #cambodia",travel_tourism,#dulich
109,7.32E+18,??o ng?c Campuchia c?nh tranh v?i Vi?t Nam và Thái Lan trong du l?ch bi?n ??o?,travel_tourism,??a danh
110,7.32E+18,Nhìn món bún qu?y Thái Lan mà Khoai nh? bún qu?y c?a Vi?t Nam mình quá ch?ng. #amthuc,food_drink,món ?n
111,7.32E+18,Món ?n Khoai thích nh?t trong hành trình du l?ch ?m th?c d?c sông Mekong,food_drink,?m th?c
112,7.32E+18,Du l?ch Thái Lan. ??ng quên ?n th? món tôm càng sông n??ng l? ???ng này nha.,food_drink,món ?n
113,7.31E+18,Toàn ??c s?n Mi?n Tây ngon nh?c nh?i nha. #amthuc,food_drink,??c s?n
114,7.31E+18,Ghe hàng b?t bu?c ph?i ng? l?i qua ?êm trong r?ng v?ng,travel_tourism,hành trình
115,7.31E+18,5 n?m tr??c là chú cháu. 5 n?m sau là anh em.,lifestyle_daily,câu chuy?n
116,7.31E+18,Anh ch?a t?ng dám nói anh yêu m?t ai th? này.,lifestyle_daily,tâm s?
117,7.30E+18,Nhà di ??ng trên sông ??y ?? ti?n nghi ? Mi?n Tây.,travel_tourism,tr?i nghi?m
118,7.30E+18,"C? nh? quay v? quá kh?, Mi?n Tây 20-30 n?m v? tr??c!",travel_tourism,v?n hoá
119,7.30E+18,B?a tr?a trên ghe hàng gi?a sông quá ch?t l??ng.,food_drink,b?a ?n
120,7.30E+18,"Bí ?n xóm bi?n k? l?, n?m g?n gi?a r?ng Mi?n Tây.",travel_tourism,khám phá
121,7.30E+18,"Tu?i tr? ng?n mà, ng?i gì mà h?ng sôi! #OMACHI",business_marketing,qu?ng bá
122,7.30E+18,Du l?ch Thái Lan g?p ngay qu?y bánh mì Vi?t Nam.,food_drink,bánh mì
123,7.30E+18,M?t ngày du l?ch khám phá Cao B?ng tho? thích.,travel_tourism,Cao B?ng
124,7.29E+18,"?ang ?i du l?ch th?y v??n cây trái ?ã quá, vô hái ?n r?i ?i ti?p.",travel_tourism,du l?ch
125,7.29E+18,"Tuy?t ??i không ?n h?t c?a nó, hãy ?n ph?n th?t trái.",food_drink,trái cây
126,7.29E+18,Chuy?n du l?ch ?m th?c Lào ph?n 2.,travel_tourism,hành trình
127,7.29E+18,Chân dung nhà vô ??ch b? môn ch?i lon,travel_tourism,tr?i nghi?m
128,7.29E+18,Ngày hôm nay Khoai di chuy?n t? Thái Lan sang Lào,travel_tourism,di chuy?n
129,7.28E+18,?i ch? ?êm biên gi?i Thái Lào,travel_tourism,ch? ?êm
130,7.28E+18,Ch? tr?i này thú v? à nha!,food_drink,??c s?n
131,7.28E+18,Thu? quái sông Mekong 300kg,travel_tourism,?i?m ??n
132,7.27E+18,Kho?nh kh?c ?àn cá kh?ng l? b?i l?i tr??c m?t,travel_tourism,thiên nhiên
133,7.27E+18,Hành trình du l?ch ?m th?c d?c sông Mekong ph?n 4,travel_tourism,hành trình
134,7.27E+18,M?t chi?u cu?i thu d?c b? Tây n??c M?,travel_tourism,??a ?i?m
135,7.27E+18,Xác nh?n là ngon l?m. Không gì ngon b?ng ?n v?ng trong b?p!,food_drink,?n u?ng
136,7.27E+18,N?u ?ám Mi?n Tây Ph?n 2.,food_drink,n?u ?n
137,7.27E+18,N?u ?ám Mi?n Tây ph?n 1,food_drink,n?u ?n
138,7.26E+18,Hành trình du l?ch ?m th?c d?c sông Mekong ngày 3,travel_tourism,du l?ch
139,7.26E+18,?i du l?ch ?à L?t theo ???ng cao t?c,travel_tourism,?à L?t
140,7.26E+18,Vì sao ng??i ta l?i c?t áo l?i thành chùm nh? v?y?,travel_tourism,v?n hoá
141,7.26E+18,Mô hình ?n u?ng du l?ch thú v?,travel_tourism,tr?i nghi?m
142,7.26E+18,Hành trình 30 ngày du l?ch ?m th?c d?c sông Mê Kông,travel_tourism,hành trình
143,7.26E+18,??ng ?i ch? này n?u không có m?t cái túi l?n,food_drink,ch?
144,7.25E+18,Du l?ch ?m th?c Nh?t B?n cùng Khoai Lang Thang,food_drink,?m th?c
145,7.25E+18,"Gyukatsu, m?t món ?n ngon và thú v? c?a ng??i Nh?t",food_drink,món Nh?t
146,7.24E+18,?i?n v? - Cu?c s?ng ? B?n Phùng t?p 5,travel_tourism,b?n làng
147,7.23E+18,??i ti?c th?t n??ng - Cu?c s?ng ? B?n Phùng,travel_tourism,tr?i nghi?m
148,7.23E+18,Du l?ch Hà Giang - Cu?c s?ng ? B?n Phùng t?p 2,travel_tourism,Hà Giang
149,7.23E+18,L?n ??u tiên ?n th?ch d?a,food_drink,món ?n
150,7.23E+18,"??c s?n trái ""?ào l?n h?t"" ?em ?i n?u ?n",food_drink,??c s?n
151,7.22E+18,"Cách ng??i ?n ?? n?u ?n l? quá. Và món cu?i cùng chính là ""??nh cao c?a s? ph?c t?p"". Có d?p du l?ch ?n ?? mình nh? ?n th? nha #KhoaiLangThang #LearnOnTikTok #amthuc #dulich #nauan #india #ando  #tiktoktravel #bmz",travel_tourism,#dulich #india
152,7.22E+18,D?a h?u ?ãi ?ám tr? Hà Giang tr??c bu?i n??ng gà. Hành trình quay l?i B?n Phùng Hà Giang ??t này nhi?u ti?ng c??i quá ?ii #KhoaiLangThang #LearnOnTikTok #tiktoktravel #amthuc #dulich #nauan #mientay #hagiang #bmz,travel_tourism,#hagiang #dulich
153,7.22E+18,L?i là m?t món gi?i khát c?a ?n ??. Nh?ng u?ng vô l?i th?y khát h?n là sao ta. Du l?ch ?m th?c ?n ?? cùng Khoai Lang Thang #KhoaiLangThang #LearnOnTikTok #tiktoktravel #dulich #amthuc #nauan #mientay #indian #bmz,travel_tourism,#dulich #indian
154,7.22E+18,Du l?ch ?m th?c ?n ?? cùng Khoai Lang Thang #KhoaiLangThang #LearnOnTikTok #tiktoktravel #dulich #amthuc #nauan #mientay #indian #bmz,travel_tourism,#dulich #indian
155,7.22E+18,"B?a ?n này có ???c g?i là th?nh so?n không? B? ??a m?i mua, gà v?t nuôi d??i sàn nhà và c? chai n??c ng?t. T?t c? nh?ng gì t?t nh?t có th? gia ?ình Khánh s?n sàng mang ra ?ãi mình. Th?nh so?n ch? sao không! #KhoaiLangThang #LearnOnTikTok #tiktoktravel #dulich #amthuc #nauan #mientay #hagiang #bmz ",travel_tourism,#hagiang #dulich
156,7.22E+18,"Nh? h?i x?a ku Ph??ng 25t c?ng t?ng n?m võng suy ngh? ?u ??a v?y, r?i quy?t ??nh ?i làm Khoai Lang Thang. #khoailangthang",lifestyle_daily,tâm s?
157,7.22E+18,Khoai có kh? n?ng nói chuy?n v?i ??ng v?t nè??. Gi?n ch? Khoai ch?c m?y ?m là gi?i thôi. #khoailangthang #LearnOnTikTok #tiktoktravel #dulich #animal #mientay #bmz,entertainment_humor,hài h??c
158,7.22E+18,"Khoai và Khánh h?n 4 n?m v? tr??c. Th?i gian trôi nhanh, v?n nh? mãi cánh ??ng lúa Hoàng Su Phì chín vàng n?m ?y. H?n 4 n?m tr??c g?i nhau là chú cháu, gi? g?p l?i là anh em. #khoailangthang",travel_tourism,#hoangsuphi
159,7.22E+18,Tr? l?i @San ?? mình ch? mu?n b?o v? nh?ng ?i?u mình qu?. #khoailangthang,lifestyle_daily,tâm s?
160,7.22E+18,L?i h?a 4 n?m m?i th?c hi?n. Anh Khoai v? l?i r?i Khánh ?i! #khoailangthang,lifestyle_daily,k? ni?m
161,7.22E+18,"Quê Khoai ? Mi?n Tây sông n??c nên h?n nhi?u l?m. H?i nh? ?i b?t hoài, v? v?t ra ?? bánh xèo ?n ngon bá ch?y. #khoailangthang #LearnOnTikTok #amthuc #mientay #tiktoktravel #dulich #nauan #bmz",food_drink,#amthuc
162,7.21E+18,"Kinh nghi?m này r?t qu?. Khoai ph?i m?t m?y ch?c n?m, ?n b?p kh?p m?i vùng mi?n m?i ?úc k?t ???c á.  #khoailangthang #LearnOnTikTok #amthuc #mientay #tiktoktravel #dulich #bmz",food_drink,?n u?ng
163,7.21E+18,Mình có vô tri quá hông d??! ?? #khoailangthang #LearnOnTikTok #amthuc #mientay #tiktoktravel #bmz,lifestyle_daily,tâm tr?ng
164,7.21E+18,Khoai xin x?m tình duyên th? h? m?i ? Nh?t B?n #khoailangthang #tiktoktravel #travel #nhatban #LearnOnTikTok #bmz,travel_tourism,#nhatban
165,7.20E+18,Quán ?n ? Nh?t này có gì mà ng??i Nh?t x?p hàng ?ông quá? Du l?ch ?m th?c Nh?t B?n #khoailangthang #LearnOnTikTok #tiktoktravel #amthuc #travel #nhatban #mientay #food #bmz,travel_tourism,#nhatban
166,7.20E+18,Du l?ch ?m th?c Nh?t B?n cùng Khoai nha! Tóm t?t ngày 1 ? Hokkaid? #khoailangthang #LearnOnTikTok #travel #tiktoktravel #dulich #amthuc #nhatban #japan #bmz,travel_tourism,#hokkaido
167,7.19E+18,N?u mâm c?m T?t cùng M? và em trai #khoailangthang #LearnOnTikTok #tet #mientay #nauan #amthuc #food #tetmaiman  #bmz,food_drink,n?u ?n
168,7.19E+18,"Du l?ch Nh?t B?n, kinh nghi?m tr??t tuy?t t? ông Khoai xàm. #KhoaiLangThang #Dulich #learnontiktok #NhatBan #DuL?chCùngVisa #ThêmChuy?nM?iTho?TâmH?n",travel_tourism,#dulich
